class_id,instances,Recall,Precision,F1,group
62,1007,0.991062562064557,0.3353494623654787,0.5011298012789822,Head
38,673,0.9762258543819076,0.19741586538455608,0.3284178952461262,Head
13,520,0.9807692307673447,0.12059588555211145,0.2147820591858174,Head
123,515,0.961165048541823,0.17392832044969292,0.29455519164749655,Head
84,455,0.9560439560418549,0.12667443214906038,0.22370789385343776,Head
127,355,0.9746478873211982,0.10236686390529516,0.18527443088543846,Head
11,281,0.9785714285679337,0.1098196392785131,0.1974774772958953,Head
1,278,0.9819494584802096,0.12983293556079722,0.22934232694360748,Head
74,262,0.9541984732788008,0.10817827780177058,0.1943256896731319,Head
34,237,0.9831223628650502,0.14095583787045315,0.24656084634124076,Head
100,215,0.9860465116233208,0.2756827048110849,0.4308943086007026,Head
51,212,0.9622641509388573,0.08199356913179984,0.15111111096629246,Head
43,208,0.9519230769185004,0.11061452513960301,0.1981981980114669,Head
98,141,0.9929078014113979,0.32786885245824854,0.4929577461039042,Head
88,137,0.9489051094821248,0.08507853403135793,0.15615615600494473,Head
12,136,0.955882352934148,0.09239516702196703,0.16850291623566888,Head
16,134,0.9696969696896236,0.08619528619522815,0.15831787245345352,Head
99,125,0.991999999992064,0.08998548621183601,0.16500332652725333,Head
9,125,0.943999999992448,0.09254901960777055,0.1685714284085602,Head
19,110,0.936363636355124,0.07388809182204169,0.13696808497062266,Head
78,110,0.9636363636276033,0.09430604982198015,0.171799027390006,Head
46,100,0.9799999999901999,0.09333333333324445,0.17043478244960908,Head
61,98,0.9183673469294044,0.05291005291002181,0.10005558633378374,Head
28,97,0.9896907216392815,0.26592797783859856,0.4192139734634255,Head
91,87,0.9540229884947813,0.16338582677133193,0.2789915963880404,Head
41,69,0.9275362318706154,0.06274509803915418,0.11753902651102731,Head
79,63,0.9682539682385992,0.07466340269268708,0.13863636350311728,Head
103,63,0.9523809523658353,0.08450704225340211,0.15523932714613017,Head
40,63,0.9206349206203074,0.06775700934571524,0.12622415656407532,Head
66,63,0.9841269841113631,0.08333333333322132,0.15365551410598402,Head
42,61,0.8852459016248321,0.08181818181805785,0.1497919554618893,Head
82,57,0.8771929824407511,0.03146633102578259,0.060753341366844626,Head
122,49,0.938775510184923,0.056930693069236475,0.10735122509613602,Head
126,47,0.9574468084902672,0.06419400855910956,0.12032085549687938,Head
27,46,0.9565217391096409,0.03049203049200936,0.059100067099210195,Head
35,45,0.8888888888691359,0.046620046619992285,0.08859357687077282,Head
95,43,0.9302325581179016,0.043431053202993015,0.08298755178181548,Head
2,39,0.9743589743339909,0.036398467432915325,0.07017543852693306,Head
107,39,0.9999999999743591,0.15918367346873805,0.27464788708507737,Head
10,39,0.9999999999743591,0.050452781371215456,0.09605911320881055,Medium
32,37,0.8378378378151936,0.0385572139303003,0.07372175972545565,Medium
93,37,0.8648648648414902,0.03547671840350834,0.06815761440764596,Medium
108,34,0.970588235265571,0.03819444444440024,0.07349665916974123,Medium
83,32,0.9062499999716798,0.035236938031548926,0.0678362572377306,Medium
111,31,0.935483870937565,0.042772861356869064,0.08180535957764068,Medium
44,31,0.9677419354526535,0.058939096267074775,0.11111111100247599,Medium
57,29,0.931034482726516,0.03918722786641628,0.07520891357129834,Medium
87,23,0.913043478221172,0.03671328671322253,0.07058823521955794,Medium
