,类别数,总框体数,平均P,平均R,平均mAP50,平均mAP50-95
前30%,37,15461,0.7132432432432433,0.7680540540540539,0.7882972972972974,0.6011351351351352
中间30%,37,784,0.5327297297297299,0.48910810810810806,0.5131351351351351,0.40146216216216213
后30%,52,189,0.5657903846153846,0.2787788461538461,0.3318815384615385,0.2643955769230769
