,类别数,总框体数,平均P,平均R,平均mAP50,平均mAP50-95,框体占比(%)
前20%,25,6618,0.58636,0.6494800000000001,0.6359999999999999,0.47204,80.54034319094559
中20%,25,1085,0.415944,0.440124,0.4113800000000001,0.317048,13.204332481440915
后60%,75,514,0.49122666666666664,0.18208,0.1745561333333333,0.14012,6.255324327613485
