class_id,class_name,Instances,YOLOv11_baseline_Predictions,YOLOv11_baseline_Precision,YOLOv11_baseline_Recall,YOLOv11_baseline_AP50,YOLOv11_baseline_AP50-95,ECAFA_YOLO_Predictions,ECAFA_YOLO_Precision,ECAFA_YOLO_Recall,ECAFA_YOLO_AP50,ECAFA_YOLO_AP50-95,ECAFA_YOLO_KD_Predictions,ECAFA_YOLO_KD_Precision,ECAFA_YOLO_KD_Recall,ECAFA_YOLO_KD_AP50,ECAFA_YOLO_KD_AP50-95,AP50-95_improvement_ECAFA_vs_baseline,AP50-95_improvement_KD_vs_baseline,AP50-95_improvement_KD_vs_ECAFA,AP50_improvement_KD_vs_baseline,AP50_improvement_KD_vs_ECAFA
0,pl80,115,759,0.13043478260869565,0.8608695652173913,0.5916846713590964,0.45344738772624515,696,0.16235632183908047,0.9826086956521739,0.7647780886125584,0.5923486819120155,561,0.19964349376114082,0.9739130434782609,0.8175739041804682,0.6511154755734015,0.13890129418577035,0.1976680878471564,0.05876679366138604,0.22588923282137174,0.0527958155679098
1,p6,15,540,0.024074074074074074,0.8666666666666667,0.4434913193128427,0.3854521161988945,406,0.034482758620689655,0.9333333333333333,0.40675722083615085,0.3338888402292043,282,0.0425531914893617,0.8,0.5329683638131832,0.45171780693327623,-0.051563275969690237,0.06626569073438171,0.11782896670407195,0.08947704450034055,0.1262111429770324
2,ph4.2,3,189,0.005291005291005291,0.3333333333333333,0.009730952380952382,0.0077847619047619054,155,0.01935483870967742,1.0,0.40622950819672127,0.3663697054468535,99,0.020202020202020204,0.6666666666666666,0.5034000000000001,0.4027200000000001,0.3585849435420916,0.3949352380952382,0.03635029455314659,0.4936690476190477,0.0971704918032788
3,pa13,2,49,0.04081632653061224,1.0,0.5162765957446807,0.5146693443334779,86,0.023255813953488372,1.0,0.695,0.6255,59,0.03389830508474576,1.0,0.8283333333333331,0.7454999999999998,0.11083065566652206,0.23083065566652194,0.11999999999999988,0.3120567375886525,0.1333333333333332
4,im,9,81,0.1111111111111111,1.0,0.943235294117647,0.7265981232492996,74,0.12162162162162163,1.0,0.995,0.8104033558558559,73,0.1232876712328767,1.0,0.995,0.8009583485540335,0.08380523260655626,0.07436022530473385,-0.009445007301822406,0.051764705882353046,0.0
5,w58,8,164,0.036585365853658534,0.75,0.4400488903537684,0.2471932862479204,115,0.06956521739130435,1.0,0.6584999999999999,0.4053325026915113,95,0.08421052631578947,1.0,0.6705369458128078,0.4356734546711607,0.15813921644359089,0.1884801684232403,0.030340951979649422,0.2304880554590394,0.012036945812807898
6,pl90,9,116,0.07758620689655173,1.0,0.712166253101737,0.6091222518610422,114,0.07894736842105263,1.0,0.5474623233908948,0.4832765343303313,89,0.10112359550561797,1.0,0.6620616438356166,0.5982723385152123,-0.1258457175307109,-0.010849913345829854,0.11499580418488103,-0.05010460926612037,0.11459932044472176
7,il70,2,69,0.028985507246376812,1.0,0.15307692307692314,0.13420066889632112,54,0.018518518518518517,0.5,0.49972222222222223,0.44975000000000004,31,0.03225806451612903,0.5,0.2557258064516129,0.23015322580645164,0.3155493311036789,0.09595255691013052,-0.2195967741935484,0.10264888337468978,-0.24399641577060932
8,p5,53,529,0.09262759924385633,0.9245283018867925,0.7372694897345187,0.6321307288510496,390,0.13076923076923078,0.9622641509433962,0.9081044276187248,0.7568200511386916,371,0.1347708894878706,0.9433962264150944,0.8958975093081678,0.7566227003955431,0.12468932228764196,0.12449197154449354,-0.00019735074314841672,0.15862801957364914,-0.01220691831055698
9,pm55,19,424,0.04481132075471698,1.0,0.7955785704624355,0.7017688160903568,265,0.06792452830188679,0.9473684210526315,0.6586822163227284,0.5767582706392129,189,0.09523809523809523,0.9473684210526315,0.8018945393374741,0.7164008587032934,-0.12501054545114387,0.014632042612936602,0.13964258806408048,0.006315968875038602,0.14321232301474573
10,pl60,107,1065,0.09107981220657277,0.9065420560747663,0.43971254900049805,0.35706192607190035,958,0.10438413361169102,0.9345794392523364,0.6269616676615425,0.5204793587617063,679,0.1487481590574374,0.9439252336448598,0.700871355804001,0.5787247981022904,0.1634174326898059,0.22166287203039003,0.058245439340584126,0.2611588068035029,0.07390968814245846
11,ip,39,696,0.05028735632183908,0.8974358974358975,0.7414747746424528,0.4338995656712437,460,0.08043478260869565,0.9487179487179487,0.8175058077861924,0.47726247059937654,395,0.09620253164556962,0.9743589743589743,0.8789413759969751,0.5183759924307587,0.04336290492813283,0.084476426759515,0.04111352183138217,0.13746660135452227,0.061435568210782665
12,p11,202,1844,0.09869848156182212,0.900990099009901,0.7390352803766972,0.5371731045099268,1577,0.12492073557387444,0.9752475247524752,0.8678114602243601,0.6275068980642019,1208,0.16390728476821192,0.9801980198019802,0.895797182576618,0.6554520172139926,0.09033379355427507,0.11827891270406576,0.027945119149790698,0.1567619021999208,0.027985722352257936
13,pdd,6,207,0.014492753623188406,0.5,0.20984949832775923,0.14689464882943146,176,0.028409090909090908,0.8333333333333334,0.33506177156177164,0.25009941666666674,157,0.03821656050955414,1.0,0.6682967032967034,0.5093898082153688,0.10320476783723528,0.36249515938593735,0.2592903915487021,0.4584472049689442,0.3332349317349318
14,wc,5,139,0.03597122302158273,1.0,0.5248888888888888,0.4254663069544364,81,0.06172839506172839,1.0,0.8426190476190476,0.7116243386243386,80,0.05,0.8,0.80025,0.6743020833333333,0.2861580316699022,0.24883577637889692,-0.0373222552910053,0.27536111111111117,-0.042369047619047584
15,i2r,57,736,0.06657608695652174,0.8596491228070176,0.6842851658888751,0.4903931727712689,550,0.09636363636363636,0.9298245614035088,0.7948671340689156,0.5914310426963519,367,0.1444141689373297,0.9298245614035088,0.8566216493636369,0.6235841595590483,0.10103786992508301,0.1331909867877794,0.032153116862696396,0.17233648347476183,0.06175451529472131
16,w30,8,133,0.05263157894736842,0.875,0.6286478468899522,0.4988115424925952,79,0.0759493670886076,0.75,0.5608383300022208,0.47578728803020215,72,0.09722222222222222,0.875,0.6704000000000001,0.5443034285714287,-0.023024254462393035,0.04549188607883348,0.06851614054122651,0.041752153110047874,0.10956166999777928
17,pmr,1,98,0.01020408163265306,1.0,0.995,0.8955,63,0.015873015873015872,1.0,0.995,0.796,46,0.021739130434782608,1.0,0.995,0.8955,-0.09949999999999992,0.0,0.09949999999999992,0.0,0.0
18,p23,35,691,0.04775687409551375,0.9428571428571428,0.5842968197629995,0.4983166195581491,431,0.08120649651972157,1.0,0.8103870781790024,0.6707912944918577,314,0.10191082802547771,0.9142857142857143,0.7701412860365161,0.6451554425307322,0.1724746749337086,0.1468388229725831,-0.0256358519611255,0.18584446627351658,-0.04024579214248625
19,pl15,7,175,0.02857142857142857,0.7142857142857143,0.3414824224224223,0.2685761484710797,176,0.03977272727272727,1.0,0.7931428571428571,0.5734945109577921,123,0.056910569105691054,1.0,0.9327777777777779,0.6947502642276423,0.30491836248671245,0.4261741157565626,0.12125575326985016,0.5912953553553556,0.13963492063492078
20,pm10,3,202,0.0049504950495049506,0.3333333333333333,0.0036124199184624345,0.0025286939429237042,200,0.005,0.3333333333333333,0.007434112068965518,0.004460467241379311,133,0.007518796992481203,0.3333333333333333,0.009472775689223058,0.004736387844611529,0.0019317732984556065,0.002207693901687825,0.00027592060323221833,0.005860355770760623,0.0020386636202575402
21,pss,3,209,0.014354066985645933,1.0,0.4363571428571428,0.36939270676691727,185,0.016216216216216217,1.0,0.6178571428571431,0.49815744787644806,107,0.028037383177570093,1.0,0.995,0.7476891121495328,0.1287647411095308,0.37829640538261555,0.24953166427308476,0.5586428571428572,0.3771428571428569
22,w34,1,48,0.0,0.0,0.0,0.0,60,0.016666666666666666,1.0,0.07653846153846157,0.030615384615384628,30,0.0,0.0,0.0,0.0,0.030615384615384628,0.0,-0.030615384615384628,0.0,-0.07653846153846157
23,iz,2,120,0.0,0.0,0.0,0.0,83,0.012048192771084338,0.5,0.08557228915662651,0.008557228915662652,55,0.0,0.0,0.0,0.0,0.008557228915662652,0.0,-0.008557228915662652,0.0,-0.08557228915662651
